#q_sq i k_sq Re(w) Im(w)
0.00124961 1 11.1588 -0.00604498 0
0.00124961 1 17.302 -0.00280846 0
0.00124961 1 26.827 -0.00129719 0
0.00124961 1 41.5956 -0.000600515 0
0.00124961 1 64.4947 -0.000280604 0
0.00124961 1 100 -0.000134433 0
0.00124961 1 155.052 -6.83808e-05 0
0.00124961 1 240.41 -3.278e-05 0
0.00124961 1 372.759 -1.48444e-05 0
0.00124961 1 577.969 -6.9377e-06 0
0.00124961 1 896.151 -3.76268e-06 0
0.00124961 1 1389.5 -2.17744e-06 0
0.00124961 1 2154.43 -1.24608e-06 0
0.00124961 1 3340.48 -7.30385e-07 0
0.00124961 1 5179.47 -4.29994e-07 0
0.00124961 1 8030.86 -2.50049e-07 0
0.00124961 1 12452 -1.48629e-07 0
0.00124961 1 19307 -8.86924e-08 0
0.00124961 1 29935.8 -5.23609e-08 0
0.00124961 1 46415.9 -3.14881e-08 0
0.00124961 1 71968.6 -1.8749e-08 0
0.00124961 1 111588 -1.13496e-08 0
0.00124961 1 173020 -6.80908e-09 0
0.00124961 1 268270 -4.12776e-09 0
0.00124961 1 415956 -2.48954e-09 0
0.00124961 1 644947 -1.52562e-09 0
0.00124961 1 1e+06 -9.23426e-10 0

0.00304699 1 1e-06 0.128698 0
0.00304699 1 1.55052e-06 0.128606 0
0.00304699 1 2.4041e-06 0.128464 0
0.00304699 1 3.72759e-06 0.12826 0
0.00304699 1 5.77969e-06 0.129887 0
0.00304699 1 8.96151e-06 0.131147 0
0.00304699 1 1.3895e-05 0.132023 0
0.00304699 1 2.15443e-05 0.132445 0
0.00304699 1 3.34048e-05 0.132267 0
0.00304699 1 5.17947e-05 0.132362 0
0.00304699 1 8.03086e-05 0.132009 0
0.00304699 1 0.00012452 0.132064 0
0.00304699 1 0.00019307 0.131735 0
0.00304699 1 0.000299358 0.1316 0
0.00304699 1 0.000464159 0.131536 0
0.00304699 1 0.000719686 0.130926 0
0.00304699 1 0.00111588 0.130668 0
0.00304699 1 0.0017302 0.129704 0
0.00304699 1 0.0026827 0.128767 0
0.00304699 1 0.00415956 0.127406 0
0.00304699 1 0.00644947 0.123162 0
0.00304699 1 0.01 0.119589 0
0.00304699 1 0.0155052 0.112846 0
0.00304699 1 0.024041 0.102313 0
0.00304699 1 0.0372759 0.0869604 0
0.00304699 1 0.0577969 0.0652234 0
